ID,Gene.symbol,Gene.title,log2_fold_change,.-log10(Pvalue)(Infiltrating ductal carcinoma vs Normal),adj.P.Val
222043_at,CLU,clusterin,-1.033,4.67,0.00106
222112_at,EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1,0.966,4.324,0.00194
222116_s_at,TBC1D16,TBC1 domain family member 16,-1.015,4.467,0.0015
222122_s_at,THOC2,THO complex 2,0.887,4.068,0.00312
222140_s_at,GPR89A///GPR89B,G protein-coupled receptor 89A///G protein-coupled receptor 89B,0.788,4.546,0.00131
222150_s_at,GSAP,gamma-secretase activating protein,0.623,3.669,0.00623
222161_at,NAALAD2,N-acetylated alpha-linked acidic dipeptidase 2,-1.33,5.509,0.000242
222162_s_at,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1,-1.252,3.844,0.00457
222182_s_at,CNOT2,CCR4-NOT transcription complex subunit 2,0.732,2.991,0.0198
222247_at,,,-0.832,3.04,#N/D
222258_s_at,SH3BP4,SH3 domain binding protein 4,0.731,2.615,0.0369
222266_at,,,1.013,4.614,#N/D
222313_at,,,0.719,3.95,#N/D
222317_at,PDE3B,phosphodiesterase 3B,-3.517,12.124,1.52E-09
222330_at,,,-0.655,2.478,#N/D
222351_at,PPP2R1B,protein phosphatase 2 scaffold subunit Abeta,-1.438,6.869,0.0000191
222369_at,NAA40,"N(alpha)-acetyltransferase 40, NatD catalytic subunit",0.558,2.816,0.0267
243_g_at,MAP4,microtubule associated protein 4,-0.521,2.876,0.0243
266_s_at,CD24,CD24 molecule,4.186,15.188,1.45E-11
31874_at,GAS2L1,growth arrest specific 2 like 1,-0.518,2.702,0.0318
32837_at,AGPAT2,1-acylglycerol-3-phosphate O-acyltransferase 2,-0.667,5.19,0.000428
33304_at,ISG20,interferon stimulated exonuclease gene 20,0.547,2.439,0.0486
33322_i_at,SFN,stratifin,0.909,8.043,0.00000223
33323_r_at,SFN,stratifin,0.39,3.187,0.00000223
35148_at,TJP3,tight junction protein 3,0.564,2.435,0.0488
35776_at,ITSN1,intersectin 1,-0.793,5.375,0.00001
36711_at,MAFF,MAF bZIP transcription factor F,-0.683,4.025,0.00334
36936_at,TSTA3,tissue specific transplantation antigen P35B,0.662,4.119,0.00285
37117_at,PRR5-ARHGAP8///ARHGAP8,PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8,1.421,9.111,0.00000033
37384_at,PPM1F,"protein phosphatase, Mg2+/Mn2+ dependent 1F",-0.673,3.842,0.00458
37831_at,SIPA1L3,signal induced proliferation associated 1 like 3,0.437,2.53,0.0422
37892_at,COL11A1,collagen type XI alpha 1 chain,2.203,6.285,0.0000582
39248_at,AQP3,aquaporin 3 (Gill blood group),1.259,5.403,0.000291
40189_at,SETSIP///SET,SET-like protein///SET nuclear proto-oncogene,0.583,3.73,0.0056
40465_at,DDX23,DEAD-box helicase 23,0.905,4.516,0.00137
41329_at,SCYL3,SCY1 like pseudokinase 3,0.61,3.504,0.00829
41577_at,PPP1R16B,protein phosphatase 1 regulatory subunit 16B,-0.591,2.603,0.0377
41644_at,SASH1,SAM and SH3 domain containing 1,-0.656,3.004,0.000952
41660_at,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1,0.951,3.274,0.0122
43427_at,ACACB,acetyl-CoA carboxylase beta,-3.02,11.843,2.13E-09
43544_at,MED16,mediator complex subunit 16,0.784,2.693,0.0324
45288_at,ABHD6,abhydrolase domain containing 6,-0.92,4.911,0.000684
45297_at,EHD2,EH domain containing 2,-0.798,4.059,0.00315
46323_at,CANT1,calcium activated nucleotidase 1,0.772,4.118,0.00285
49452_at,ACACB,acetyl-CoA carboxylase beta,-2.098,10.149,2.13E-09
53991_at,DENND2A,DENN domain containing 2A,-0.582,2.792,0.00976
55872_at,ZNF512B,zinc finger protein 512B,0.706,3.55,0.00766
58780_s_at,ARHGEF40,Rho guanine nucleotide exchange factor 40,-1.838,8.777,0.00000054
59644_at,BMP2K,BMP2 inducible kinase,0.981,4.97,0.000619
59697_at,RAB15,"RAB15, member RAS oncogene family",0.545,2.591,0.0383
60471_at,RIN3,Ras and Rab interactor 3,0.702,2.636,0.0356
65718_at,ADGRA2,adhesion G protein-coupled receptor A2,-0.901,6.697,0.0000262
81811_at,,,0.43,2.866,#N/D
91826_at,EPS8L1,EPS8 like 1,0.571,2.963,0.0208
AFFX-HSAC07/X00351_M_at,ACTB,actin beta,0.756,2.746,0.03
AFFX-HUMGAPDH/M33197_5_at,GAPDH,glyceraldehyde-3-phosphate dehydrogenase,0.618,3.16,0.0149
AFFX-HUMGAPDH/M33197_M_at,GAPDH,glyceraldehyde-3-phosphate dehydrogenase,0.872,2.896,0.0149
